,Date;Cnc_Program_Name_RT;Cnc_Tool_Number_RT;System_IOLINK_CounterweightPressure;Axis_FeedRate_actual;Axis_Y_positionActualMCS_mm_d10000;System_IOLINK_HydraulicPressure;Axis_Y_power_percent;System_isHydraulicsOn;Axis_Z_positionActualMCS_mm_d10000;Axis_Z_power_percent;Cnc_Override_Axis;Target
40,2020-05-16T12:27:53.148Z;contrapeso.H;0;170;0;7872995;157;11;1;14878923;0;100;0
41,2020-05-16T12:27:54.148Z;contrapeso.H;0;170;0;7872995;155;11;1;14878923;0;100;0
42,2020-05-16T12:27:55.148Z;contrapeso.H;0;170;0;7872996;154;11;1;14878923;0;100;0
43,2020-05-16T12:27:56.148Z;contrapeso.H;0;170;0;7872995;153;11;1;14878923;0;100;0
44,2020-05-16T12:27:57.148Z;contrapeso.H;0;170;0;7872995;152;11;1;14878923;0;100;0
45,2020-05-16T12:27:58.148Z;contrapeso.H;0;170;0;7872996;151;11;1;14878923;0;100;0
46,2020-05-16T12:27:59.148Z;contrapeso.H;0;170;0;7872995;150;11;1;14878923;0;100;0
47,2020-05-16T12:28:00.148Z;contrapeso.H;0;170;0;7872995;150;11;1;14878923;0;100;0
48,2020-05-16T12:28:01.148Z;contrapeso.H;0;170;0;7872995;149;11;1;14878923;0;100;0
49,2020-05-16T12:28:02.148Z;contrapeso.H;0;170;0;7872996;148;11;1;14878923;0;100;0
50,2020-05-16T12:28:03.148Z;contrapeso.H;0;170;0;7872995;147;11;1;14878923;0;100;0
51,2020-05-16T12:28:04.148Z;contrapeso.H;0;170;0;7872995;146;11;1;14878923;0;100;0
52,2020-05-16T12:28:05.148Z;contrapeso.H;0;170;0;7872996;145;11;1;14878923;0;100;0
53,2020-05-16T12:28:06.148Z;contrapeso.H;0;170;0;7872995;146;11;1;14878923;0;100;0
54,2020-05-16T12:28:07.148Z;contrapeso.H;0;170;0;7872996;150;11;1;14878923;0;100;0
55,2020-05-16T12:28:08.148Z;contrapeso.H;0;170;0;7872995;155;11;1;14878923;0;100;0
56,2020-05-16T12:28:09.148Z;contrapeso.H;0;170;0;7872995;159;11;1;14878923;0;100;0
57,2020-05-16T12:28:10.148Z;contrapeso.H;0;170;0;7872995;159;11;1;14878923;0;100;0
58,2020-05-16T12:28:11.148Z;contrapeso.H;0;170;0;7872995;164;11;1;14878923;0;100;0
59,2020-05-16T12:28:12.148Z;contrapeso.H;0;170;0;7872995;169;11;1;14878923;0;100;0
60,2020-05-16T12:28:13.148Z;contrapeso.H;0;170;0;7872995;168;11;1;14878923;0;100;0
61,2020-05-16T12:28:14.148Z;contrapeso.H;0;170;0;7872995;167;11;1;14878923;0;100;0
62,2020-05-16T12:28:15.148Z;contrapeso.H;0;170;0;7872996;165;11;1;14878923;0;100;0
63,2020-05-16T12:28:16.148Z;contrapeso.H;0;170;0;7872995;164;11;1;14878923;0;100;0
64,2020-05-16T12:28:17.148Z;contrapeso.H;0;170;0;7872995;162;11;1;14878923;0;100;0
65,2020-05-16T12:28:18.148Z;contrapeso.H;0;170;0;7872996;161;11;1;14878923;0;100;0
66,2020-05-16T12:28:19.148Z;contrapeso.H;0;170;0;7872995;160;11;1;14878923;0;100;0
67,2020-05-16T12:28:20.148Z;contrapeso.H;0;170;0;7872995;159;11;1;14878923;0;100;0
68,2020-05-16T12:28:21.148Z;contrapeso.H;0;170;0;7872996;158;11;1;14878923;0;100;0
69,2020-05-16T12:28:22.148Z;contrapeso.H;0;170;0;7872995;157;11;1;14878923;0;100;0
70,2020-05-16T12:28:23.148Z;contrapeso.H;0;170;0;7872995;155;11;1;14878923;0;100;0
71,2020-05-16T12:28:24.148Z;contrapeso.H;0;170;0;7872995;154;11;1;14878923;0;100;0
72,2020-05-16T12:28:25.148Z;contrapeso.H;0;170;0;7872995;153;11;1;14878923;0;100;0
73,2020-05-16T12:28:26.148Z;contrapeso.H;0;170;0;7872996;152;11;1;14878923;0;100;0
74,2020-05-16T12:28:27.148Z;contrapeso.H;0;170;0;7872995;151;11;1;14878923;0;100;0
75,2020-05-16T12:28:28.148Z;contrapeso.H;0;170;0;7872995;150;11;1;14878923;0;100;0
76,2020-05-16T12:28:29.148Z;contrapeso.H;0;170;0;7872996;149;11;1;14878923;0;100;0
77,2020-05-16T12:28:30.148Z;contrapeso.H;0;170;0;7872995;148;11;1;14878923;0;100;0
78,2020-05-16T12:28:31.148Z;contrapeso.H;0;170;0;7872995;147;10;1;14878923;0;100;0
79,2020-05-16T12:28:32.148Z;contrapeso.H;0;170;0;7872996;146;10;1;14878923;0;100;0
80,2020-05-16T12:28:33.148Z;contrapeso.H;0;170;0;7872995;146;10;1;14878923;0;100;0
81,2020-05-16T12:28:34.148Z;contrapeso.H;0;170;0;7872995;145;10;1;14878923;0;100;0
82,2020-05-16T12:28:35.148Z;contrapeso.H;0;170;0;7872996;146;10;1;14878923;0;100;0
83,2020-05-16T12:28:36.148Z;contrapeso.H;0;170;0;7872995;150;11;1;14878923;0;100;0
84,2020-05-16T12:28:37.148Z;contrapeso.H;0;170;0;7872995;155;10;1;14878923;0;100;0
85,2020-05-16T12:28:38.148Z;contrapeso.H;0;170;0;7872995;159;10;1;14878923;0;100;0
86,2020-05-16T12:28:39.148Z;contrapeso.H;0;170;0;7872996;164;10;1;14878923;0;100;0
87,2020-05-16T12:28:40.148Z;contrapeso.H;0;170;0;7872995;169;10;1;14878923;0;100;0
88,2020-05-16T12:28:41.148Z;contrapeso.H;0;170;0;7872995;168;11;1;14878923;0;100;0
89,2020-05-16T12:28:42.148Z;contrapeso.H;0;170;0;7872995;167;11;1;14878923;0;100;0
90,2020-05-16T12:28:43.148Z;contrapeso.H;0;170;0;7872995;165;11;1;14878923;0;100;0
91,2020-05-16T12:28:44.148Z;contrapeso.H;0;170;0;7872996;164;11;1;14878923;0;100;0
92,2020-05-16T12:28:45.148Z;contrapeso.H;0;170;0;7872995;162;10;1;14878923;0;100;0
93,2020-05-16T12:28:46.148Z;contrapeso.H;0;170;0;7872995;161;10;1;14878923;0;100;0
94,2020-05-16T12:28:47.148Z;contrapeso.H;0;170;0;7872995;160;10;1;14878923;0;100;0
95,2020-05-16T12:28:48.148Z;contrapeso.H;0;170;0;7872996;159;10;1;14878923;0;100;0
96,2020-05-16T12:28:49.148Z;contrapeso.H;0;170;0;7872995;158;10;1;14878923;0;100;0
97,2020-05-16T12:28:50.148Z;contrapeso.H;0;170;0;7872995;157;10;1;14878923;0;100;0
98,2020-05-16T12:28:51.166Z;contrapeso.H;0;170;0;7872995;155;10;1;14878923;0;100;0
99,2020-05-16T12:28:52.166Z;contrapeso.H;0;170;0;7872996;154;10;1;14878923;0;100;0
100,2020-05-16T12:28:53.166Z;contrapeso.H;0;170;0;7872995;153;10;1;14878923;0;100;0
101,2020-05-16T12:28:54.166Z;contrapeso.H;0;170;0;7872996;152;10;1;14878923;0;100;0
102,2020-05-16T12:28:55.166Z;contrapeso.H;0;170;0;7872995;151;10;1;14878923;0;100;0
103,2020-05-16T12:28:56.166Z;contrapeso.H;0;170;0;7872995;150;10;1;14878923;0;100;0
